X	Y	Z
-166.4490204	198	-0.000001
-169.7823639	198	-0.000001
-173.1157074	198	-0.000001
-176.4490356	198	-0.000001
-179.7823639	198	-0.000001
-183.1157074	198	-0.000001
-186.4490356	198	-0.000001
-189.7823639	198	-0.000001
-193.1157074	198	-0.000001
-196.4490356	198	-0.000001
-199.7823639	198	-0.000001
-203.1157074	198	-0.000001
-206.4490356	198	-0.000001
-209.7823639	198	-0.000001
-213.1157074	198	-0.000001
-216.4490356	198	-0.000001
-219.7823639	198	-0.000001
-223.1157074	198	-0.000001
-226.4490356	198	-0.000001
-229.7823639	198	-0.000001
-233.1157074	198	-0.000001
-236.4490356	198	-0.000001
-239.7823639	198	-0.000001
-243.1157074	198	-0.000001
-246.4490356	198	-0.000001
-249.7823639	198	-0.000001
-253.1157074	198	-0.000001
-256.4490356	198	-0.000001
-259.7823792	198	-0.000001
-263.1156921	198	-0.000001
-266.4490356	198	-0.000001
-269.7823792	198	-0.000001
-273.1156921	198	-0.000001
-276.4490356	198	-0.000001
-279.7823792	198	-0.000001
-283.1156921	198	-0.000001
-286.4490356	198	-0.000001
-289.7823792	198	-0.000001
-293.1156921	198	-0.000001
-296.4490356	198	-0.000001
-299.7823792	198	-0.000001
-303.1156921	198	-0.000001
-306.4490356	198	-0.000001
-309.7823792	198	-0.000001
-313.1156921	198	-0.000001
-316.4490356	198	-0.000001
-319.7823792	198	-0.000001
-323.1156921	198	-0.000001
-326.4490356	198	-0.000001
-329.7823792	198	-0.000001
-333.1156921	198	-0.000001
-336.4490356	198	-0.000001
-339.7823792	198	-0.000001
-343.1156921	198	-0.000001
-346.4490356	198	-0.000001
-350.4490356	198	-0.000001
-354.4490051	198	-0.000001
-358.1156616	198	-0.000001
-361.4490051	198	-0.000001
-364.7823486	198	-0.000001
-368.1156616	198	-0.000001
-371.4490051	198	-0.000001
-374.7823486	198	-0.000001
-378.1156616	198	-0.000001
-381.4490051	198	-0.000001
-384.7823486	198	-0.000001
-388.1156616	198	-0.000001
-391.4490051	198	-0.000001
-394.7823486	198	-0.000001
-398.1156616	198	-0.000001
-401.4490051	198	-0.000001
-404.7823486	198	-0.000001
-408.1156616	198	-0.000001
-411.4490051	198	-0.000001
-414.7823486	198	-0.000001
-418.1156616	198	-0.000001
-421.4490051	198	-0.000001
-424.7823486	198	-0.000001
-428.1156616	198	-0.000001
-431.4490051	198	-0.000001
-434.7823486	198	-0.000001
-438.1156616	198	-0.000001
-441.4490051	198	-0.000001
-444.7823486	198	-0.000001
-448.1156616	198	-0.000001
-451.4490051	198	-0.000001
-454.7823486	198	-0.000001
-458.1156616	198	-0.000001
-461.4490051	198	-0.000001
-464.7823486	198	-0.000001
-468.1156616	198	-0.000001
-471.4490051	198	-0.000001
-474.7823486	198	-0.000001
-478.1156616	198	-0.000001
-481.4490051	198	-0.000001
-484.7823486	198	-0.000001
-488.1156616	198	-0.000001
-491.4490051	198	-0.000001
-494.7823486	198	-0.000001
-498.1156616	198	-0.000001
-501.4490051	198	-0.000001
-504.7823486	198	-0.000001
-508.1156616	198	-0.000001
-511.4490356	198	-0.000001
-514.7823486	198	-0.000001
-518.1157227	198	-0.000001
-521.4490356	198	-0.000001
-524.7823486	198	-0.000001
-528.1157227	198	-0.000001
-531.4490356	198	-0.000001
-534.7823486	198	-0.000001
-538.4490356	198	-0.000001
-542.4489746	198	-0.000001
-546.4489746	198	-0.000001
-549.7822876	198	-0.000001
-553.1156616	198	-0.000001
-556.4489746	198	-0.000001
-559.7822876	198	-0.000001
-563.1156616	198	-0.000001
-566.4489746	198	-0.000001
-569.7822876	198	-0.000001
-573.1156616	198	-0.000001
-576.4489746	198	-0.000001
-579.7822876	198	-0.000001
-583.1156616	198	-0.000001
-586.4489746	198	-0.000001
-589.7822876	198	-0.000001
-593.1156616	198	-0.000001
-596.4489746	198	-0.000001
-599.7822876	198	-0.000001
-603.1156616	198	-0.000001
-606.4489746	198	-0.000001
-609.7822876	198	-0.000001
-613.1156616	198	-0.000001
-616.4489746	198	-0.000001
-619.7822876	198	-0.000001
-623.1156616	198	-0.000001
-626.4489746	198	-0.000001
-629.7822876	198	-0.000001
